"filename", "language", "JavaScript", "comment", "blank", "total"
"c:\Users\surya\OneDrive\Desktop\ClassMonitor\backend\controllers\adminController.js", "JavaScript", 160, 56, 49, 265
"c:\Users\surya\OneDrive\Desktop\ClassMonitor\backend\controllers\adminDataController.js", "JavaScript", 13, 0, 5, 18
"c:\Users\surya\OneDrive\Desktop\ClassMonitor\backend\controllers\attendance.controller.js", "JavaScript", 26, 7, 8, 41
"c:\Users\surya\OneDrive\Desktop\ClassMonitor\backend\controllers\classController.js", "JavaScript", 61, 5, 17, 83
"c:\Users\surya\OneDrive\Desktop\ClassMonitor\backend\controllers\subjectController.js", "JavaScript", 69, 6, 17, 92
"c:\Users\surya\OneDrive\Desktop\ClassMonitor\backend\controllers\teacherDataController.js", "JavaScript", 13, 0, 6, 19
"c:\Users\surya\OneDrive\Desktop\ClassMonitor\backend\controllers\teacher_controller.js", "JavaScript", 243, 6, 54, 303
"c:\Users\surya\OneDrive\Desktop\ClassMonitor\backend\controllers\timetableController.js", "JavaScript", 266, 16, 45, 327
"c:\Users\surya\OneDrive\Desktop\ClassMonitor\backend\controllers\userController.js", "JavaScript", 488, 25, 124, 637
"c:\Users\surya\OneDrive\Desktop\ClassMonitor\backend\controllers\userDataController.js", "JavaScript", 13, 0, 6, 19
"Total", "-", 1352, 121, 331, 1804
