"filename", "language", "JavaScript", "MS SQL", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\surya\OneDrive\Desktop\ClassMonitor\backend\.clinic\22220.clinic-doctor.html", "HTML", 0, 0, 0, 21730, 1, 236, 21967
"c:\Users\surya\OneDrive\Desktop\ClassMonitor\backend\admin-load-test.js", "JavaScript", 248, 0, 0, 0, 47, 50, 345
"c:\Users\surya\OneDrive\Desktop\ClassMonitor\backend\baseline.json", "JSON", 0, 0, 170209, 0, 0, 1, 170210
"c:\Users\surya\OneDrive\Desktop\ClassMonitor\backend\cache-test.js", "JavaScript", 217, 0, 0, 0, 38, 59, 314
"c:\Users\surya\OneDrive\Desktop\ClassMonitor\backend\config\emailTemplates.js", "JavaScript", 200, 0, 0, 0, 0, 19, 219
"c:\Users\surya\OneDrive\Desktop\ClassMonitor\backend\config\mongodb.js", "JavaScript", 18, 0, 0, 0, 0, 4, 22
"c:\Users\surya\OneDrive\Desktop\ClassMonitor\backend\config\mysql.js", "JavaScript", 11, 0, 0, 0, 0, 2, 13
"c:\Users\surya\OneDrive\Desktop\ClassMonitor\backend\config\nodemailer.js", "JavaScript", 9, 0, 0, 0, 0, 3, 12
"c:\Users\surya\OneDrive\Desktop\ClassMonitor\backend\config\redis.js", "JavaScript", 17, 0, 0, 0, 0, 4, 21
"c:\Users\surya\OneDrive\Desktop\ClassMonitor\backend\config\s3.js", "JavaScript", 9, 0, 0, 0, 0, 2, 11
"c:\Users\surya\OneDrive\Desktop\ClassMonitor\backend\controllers\adminController.js", "JavaScript", 160, 0, 0, 0, 56, 49, 265
"c:\Users\surya\OneDrive\Desktop\ClassMonitor\backend\controllers\adminDataController.js", "JavaScript", 13, 0, 0, 0, 0, 5, 18
"c:\Users\surya\OneDrive\Desktop\ClassMonitor\backend\controllers\attendance.controller.js", "JavaScript", 26, 0, 0, 0, 7, 8, 41
"c:\Users\surya\OneDrive\Desktop\ClassMonitor\backend\controllers\classController.js", "JavaScript", 61, 0, 0, 0, 5, 17, 83
"c:\Users\surya\OneDrive\Desktop\ClassMonitor\backend\controllers\subjectController.js", "JavaScript", 69, 0, 0, 0, 6, 17, 92
"c:\Users\surya\OneDrive\Desktop\ClassMonitor\backend\controllers\teacherDataController.js", "JavaScript", 13, 0, 0, 0, 0, 6, 19
"c:\Users\surya\OneDrive\Desktop\ClassMonitor\backend\controllers\teacher_controller.js", "JavaScript", 243, 0, 0, 0, 6, 54, 303
"c:\Users\surya\OneDrive\Desktop\ClassMonitor\backend\controllers\timetableController.js", "JavaScript", 266, 0, 0, 0, 16, 45, 327
"c:\Users\surya\OneDrive\Desktop\ClassMonitor\backend\controllers\userController.js", "JavaScript", 488, 0, 0, 0, 25, 124, 637
"c:\Users\surya\OneDrive\Desktop\ClassMonitor\backend\controllers\userDataController.js", "JavaScript", 13, 0, 0, 0, 0, 6, 19
